127.0.0.1 - - [27/Jun/2022:09:43:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:43:34 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:43:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:46:58 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 500 3362
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:47:10 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:49:43 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [27/Jun/2022:09:54:21 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:08:51 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:10:03 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=40 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:10:51 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:10:59 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=40 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:11:30 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:11:55 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:12:08 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:15:32 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:16:40 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:16:49 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=40 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:17:00 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:17:53 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:18:33 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:18:41 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:19:00 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:19:13 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=30 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:19:23 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:19:32 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=30 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:10:19:44 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:44:13 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:44:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:44:31 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:44:57 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:45:05 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:45:13 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:45:36 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:47:53 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:47:57 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=10 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:48:48 +0900] "GET /dev_web/json/deptToJSON.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:48:51 +0900] "GET /dev_web/json/deptToJSON.jsp?deptno=30 HTTP/1.1" 200 57
